ID	地点番号	駅名	世代	年齢(調査時)	開始時刻	出身地	生年	性別	1009とうもろこし<家>	1009とうもろこし<TV>	1013片足とび<家>	1013片足とび<TV>	1016びり<家>	1016びり<TV>	1007あざができる<家>	1007あざができる[あざ-]<家>	1007あざができる[-が-]<家>	1007あざができる[-できる]<家>	1007あざができる<TV>
35	NI1717	加賀温泉	高	78	14:15	1	1930	男	ﾄｰｷﾋﾞ	ﾄｰｷﾋﾞ	ｶﾀｱｼﾄﾋﾞ	ｶﾀｱｼﾄﾋﾞ	ｹﾞｯﾄｸｿ	ﾋﾞﾘ		NN	NN	ｼﾞｼﾞｸﾞﾛﾅｯﾀ	
35	NI1717	加賀温泉	中	49	10:04	1	1959	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞ	ﾄﾞﾍﾞ		NN	NN	ｼﾝﾄﾞﾙ	
35	NI1717	加賀温泉	若	33	14:16	1	1975	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ		ｱｻﾞ	ﾝ	ﾅﾙ	
35	NI1717	加賀温泉	少	13	10:00	1	1994	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ｻｲｶｲ		ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾙ	
36	NI1718	大聖寺	高	72	10:00	3	1935	男	"ﾄｰﾓﾛｺｼ,"	"ﾄｰﾓﾛｺｼ,ﾄｰｷﾋﾞ"	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ｹﾞﾍﾞ"	ﾋﾞﾘ		NN	NN	"ｼﾞﾝｼﾞｸﾞﾛｰﾅﾙ,ｼﾞﾝｼﾞｸﾞﾛｲ"	
36	NI1718	大聖寺	高	63	10:00	1	1944	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘｹﾞﾍﾞ	ﾋﾞﾘ		NN	NN	ｼﾞﾝｼﾞｸﾞﾛｲ	
36	NI1718	大聖寺	中	59	13:50	1	1949	女	"ﾄｰﾓﾛｺｼ,ﾄｰｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ｹﾞﾍﾞ,ｹﾞｯﾄｸｿ"	ﾋﾞﾘ		NN	NN	ｼﾞﾝｼﾞｸﾞﾛﾅﾙ	
36	NI1718	大聖寺	若	37	10:02	1	1971	女	"ﾄｰﾓﾛｺｼ,ﾄｰｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ﾋﾞﾘｯｹﾂ,ｹﾞﾍﾞ"	ﾋﾞﾘ		NN	NN	ｼﾇ	
36	NI1718	大聖寺	少	12	14:00	1	1996	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ﾋﾟｮﾝﾋﾟｮﾝ	"ﾋﾞﾘ,ｹﾞﾍﾞ"	ｻｲｶｲ		ｱｵﾀﾝ	ﾆ	ﾅﾙ	
36	NI1718	大聖寺	少	12	14:00	1	1996	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘｯｹﾂ,ｹﾞﾍﾞ"	ｻｲｶｲ		ｱｵﾀﾝ	ﾆ	ﾅﾙ	
37	NI1802	細呂木	高	71	10:01	1	1936	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	"ｱｻﾞﾆﾅﾙ,ｱｻﾞｶﾞﾃﾞｷﾙ"	ｱｻﾞ	"ﾆ,ｶﾞ"	"ﾅﾙ,ﾃﾞｷﾙ"	"ｱｻﾞﾆﾅﾙ,ｱｻﾞｶﾞﾃﾞｷﾙ"
37	NI1802	細呂木	高	63	10:00	1	1944	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	ﾅｲｼｭｯｹﾂｽﾙ	NN	NN	ﾅｲｼｭｯｹﾂｽﾙ	ﾅｲｼｭｯｹﾂｽﾙ
37	NI1802	細呂木	中	52	10:00	1	1955	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ｹﾞｯﾊﾟ,ｹﾞｯﾍﾟ"	ﾋﾞﾘ	ｱｵｱｻﾞﾆﾅﾙ	ｱｵｱｻﾞ	ﾆ	ﾅﾙ	ｱｵｸﾞﾛｸﾅﾙ
37	NI1802	細呂木	少	13	13:00	1	1995	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
38	NI1803	芦原温泉	高	78	9:50	1	1928	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾄﾋﾞ	ｶﾀｱｼﾄﾋﾞ	ﾍｯﾊﾟ	ﾄﾞﾝｹﾂ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｼﾞｭｰｹﾂｽﾙ
